"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2014- 06- 01","127,500","127,500","127,500","127,500","","0.00%"
"2014- 05- 30","127,500","132,000","132,000","124,500","269.55K","-3.04%"
"2014- 05- 29","131,500","128,000","132,000","126,500","185.82K","2.73%"
"2014- 05- 28","128,000","123,500","128,000","123,500","139.00K","4.92%"
"2014- 05- 27","122,000","124,500","127,000","121,500","155.21K","-2.01%"
"2014- 05- 26","124,500","121,000","125,000","120,000","158.11K","2.89%"
"2014- 05- 25","121,000","121,000","121,000","121,000","","0.00%"
"2014- 05- 23","121,000","119,000","122,500","119,000","196.60K","1.68%"
"2014- 05- 22","119,000","113,500","119,000","113,500","346.72K","5.31%"
"2014- 05- 21","113,000","112,500","114,000","112,500","101.94K","0.89%"
"2014- 05- 20","112,000","114,000","114,500","112,000","87.21K","-1.75%"
"2014- 05- 19","114,000","115,000","115,500","112,500","81.99K","0.00%"
"2014- 05- 16","114,000","115,500","115,500","112,500","149.19K","-1.72%"
"2014- 05- 15","116,000","117,500","118,500","115,500","95.02K","-1.28%"
"2014- 05- 14","117,500","115,500","118,500","115,500","204.72K","1.73%"
"2014- 05- 13","115,500","115,000","116,500","114,500","105.54K","0.43%"
"2014- 05- 12","115,000","116,000","116,500","114,000","73.02K","-0.86%"
"2014- 05- 09","116,000","115,000","117,000","114,000","100.61K","1.31%"
"2014- 05- 08","114,500","113,000","114,500","112,500","100.22K","0.88%"
"2014- 05- 07","113,500","115,000","115,000","111,500","118.19K","-1.73%"
"2014- 05- 06","115,500","115,500","115,500","115,500","","0.00%"
"2014- 05- 02","115,500","113,500","115,500","113,000","74.95K","1.32%"
"2014- 05- 01","114,000","114,000","114,000","114,000","","0.00%"
"2014- 04- 30","114,000","112,000","114,000","111,000","144.52K","1.79%"
"2014- 04- 29","112,000","113,500","116,000","110,500","195.26K","-1.32%"
"2014- 04- 28","113,500","111,000","113,500","111,000","78.95K","2.25%"
"2014- 04- 25","111,000","110,500","113,500","110,500","116.40K","-0.45%"
"2014- 04- 24","111,500","113,500","114,500","109,500","191.61K","-1.76%"
"2014- 04- 23","113,500","114,000","115,000","112,500","103.28K","-0.87%"
"2014- 04- 22","114,500","112,000","115,000","111,000","138.30K","2.23%"
"2014- 04- 21","112,000","116,000","116,500","111,000","157.04K","-3.45%"
"2014- 04- 18","116,000","114,500","116,500","113,000","112.21K","1.31%"
"2014- 04- 17","114,500","115,500","117,500","114,000","140.84K","-0.43%"
"2014- 04- 16","115,000","109,500","117,500","108,500","340.89K","5.02%"
"2014- 04- 15","109,500","108,000","110,000","107,000","162.25K","1.39%"
"2014- 04- 14","108,000","103,000","108,000","103,000","163.05K","3.35%"
"2014- 04- 13","104,500","104,500","104,500","104,500","","0.00%"
"2014- 04- 11","104,500","104,000","104,500","102,500","168.31K","-1.42%"
"2014- 04- 10","106,000","105,500","107,500","104,500","104.15K","0.95%"
"2014- 04- 09","105,000","108,000","108,500","104,000","147.30K","-2.78%"
"2014- 04- 08","108,000","105,500","108,500","104,500","124.99K","1.89%"
"2014- 04- 07","106,000","108,500","110,000","105,500","160.67K","-3.20%"
"2014- 04- 04","109,500","104,500","110,000","104,500","261.25K","5.80%"
"2014- 04- 03","103,500","102,000","104,000","102,000","82.56K","1.47%"
"2014- 04- 02","102,000","105,000","105,000","102,000","75.56K","-2.39%"
"2014- 04- 01","104,500","103,000","104,500","101,500","102.04K","1.46%"
"2014- 03- 31","103,000","100,500","103,000","99,900","100.77K","3.00%"
"2014- 03- 28","100,000","99,100","101,000","98,700","106.12K","0.91%"
"2014- 03- 27","99,100","100,000","101,000","98,100","139.25K","-1.88%"
"2014- 03- 26","101,000","103,500","103,500","99,800","134.58K","-1.94%"
"2014- 03- 25","103,000","101,500","103,500","100,500","112.64K","1.48%"
"2014- 03- 24","101,500","102,500","103,000","100,500","61.88K","-0.49%"
"2014- 03- 21","102,000","103,000","103,500","101,000","92.08K","0.00%"
"2014- 03- 20","102,000","101,500","103,000","101,000","181.10K","0.49%"
"2014- 03- 19","101,500","99,400","103,000","99,100","300.64K","2.84%"
