,회사명,거래소코드,회계년도,회생여부,이자보상배율(이자비용),부가가치(백만원),금융비용(백만원),매출액총이익률,매출액순이익률,총자본사업이익률,총자본순이익률,자기자본순이익률,경영자본순이익률,자본금순이익률,매출원가대매출액비율,영업비용대영업수익비율,금융손익비율,금융비용부담률,기업순이익률,인건비대총비용비율,금융비용대총비용비율,이자부담률,지급이자율,차입금평균이자율,유보율,유동자산구성비율,재고자산대유동자산비율,유동자산대비유동자산비율,자기자본구성비율,타인자본구성비율,자기자본배율,유동비율,현금비율,매출채권비율,매입채무대재고자산비율,순운전자본비율,차입금의존도,차입금비율,총자본회전률,자기자본회전률,자본금회전률,타인자본회전률,매입채무회전률,당좌자산회전률,재고자산회전률,매출채권회전률,비유동자산회전률,유형자산회전율,순운전자본회전률,사내유보대자기자본비율,자기자본배당률,배당성향,이익잉여금(결손금)(요약)(백만원),비유동금융부채(요약)(백만원),비유동자산증가율,유동금융부채(요약)(백만원),외국인_주식분포비율,장기금융부채(백만원),자산대비자본비율,차입,총자본증가율,유형자산증가율,비유동자산(백만원),자기자본증가율,매출액증가율,순이익증가율,직원증감률,자산대비_장기금융부채비율,자산대비_장기금융부채비율_증가율,투자축소_여부,직원증감률_여부,종업원수증가율,투자활동현금흐름증감률,매출원가축소_여부,자산매각_여부,배당금축소_여부,자본증가율_여부,차입_여부,사내유보금보유_여부,운용적범주전략(OPS)변수,재무적범주전략(FIN)변수,배당금지급_여부,LEV지수,순자산가치(백만원),KZ지수,산업매출성장률,WW지수,CL지수,NCAV지수,기업생명주기,순매수거래량_기관,순매수거래대금 비중_기관,순매수거래량_외국인,순매수거래대금 비중_외국인
963,(주)파이오링크,170790,2015.0,1,-24.34,9693.78,-724.61,59.28,-12.67,-3.43,-6.29,-7.8,-7.37,-88.01,40.72,110.26,-1.53,-3.19,-7.87,44.51,-2.76,-6.33,3.47,3.6,1071.27,68.74,16.8,219.92,76.38,23.62,1171.27,504.25,224.42,95.39,41.07,55.11,2.04,2.68,0.5,0.66,7.49,1.98,11.56,0.88,3.42,4.39,1.72,7.26,0.58,27.01,0.0,0.0,10379.0,0.0,-53.948800982663805,0.0,0.84,652.0,76.3808621506395,1.2354334438654666,35.96547726394435,9.25183700734803,16496.0,42.06668076407979,-4.015877707867067,-224.63203463203465,36.69064748201439,0.012354334438654666,0,0,0,36.69064748201439,55.64127290260367,0.0,1,1,0,0,0,0,1,0,0.006181402408329393,40310.0,-400447510571.6539,-0.947472877343674,-927143534.5858486,674700234037.2905,0.455811906718857,1,-158499.0,-0.0028233193762666,56183.0,0.0008544075065733
964,엘티씨(주),170920,2016.0,1,-1.57,12180.74,864.05,20.91,-2.62,-1.06,-1.39,-0.87,-1.63,-20.82,79.09,102.15,-2.86,1.22,-0.75,11.59,1.14,1.84,2.13,2.62,2330.67,34.2,13.68,51.99,61.75,38.25,2351.26,185.61,87.98,57.74,36.22,15.78,31.49,51.0,0.53,0.82,19.79,1.51,22.13,1.71,12.43,19.36,0.82,1.14,0.95,52.94,1.17,108.48,47465.0,0.0,38.06642580420493,1394.0,0.42,26346.0,61.74967674127547,18.217271350633727,17.139964360926616,28.253974074549422,95154.0,5.550368172846219,-7.080699825959513,-128.7588761963569,17.475728155339805,0.18217271350633726,0,0,0,17.475728155339805,296.7332430602573,0.0,0,0,0,1,0,0,1,1,0.14477645381354157,89303.0,-515030725311.0078,0.06138113708600749,4018314111.6545086,267254565045.81946,-0.054986883971799745,0,22749.0,0.0003807026859006,-18438.0,0.0001713626732341
965,램테크놀러지(주),171010,2014.0,0,-2.2,7296.35,1253.41,6.84,-15.26,-5.07,-6.62,-15.39,-7.54,-83.09,93.16,111.79,-4.88,5.26,-4.34,22.98,4.44,4.01,3.78,4.39,400.52,21.59,56.1,27.54,37.83,62.17,500.52,54.18,7.97,35.81,6.98,-18.26,58.31,154.14,0.43,1.01,5.45,0.76,56.84,3.52,3.38,8.92,0.58,0.63,0.68,37.67,0.0,0.0,6277.0,0.0,145.22433993844825,0.0,0.21,12254.0,37.829299451023715,21.154576528674514,11.550608534894469,27.95821235070494,45418.0,-13.6127099266735,-44.5129613254526,-274.066985645933,-24.293785310734464,0.21154576528674515,0,0,1,-24.293785310734464,7.837738619676945,0.0,0,0,0,1,0,1,1,0,0.18004588383690412,21913.0,-41304815239.52457,-2.3968510558758984,1215688980.20993,661978808497.5228,-0.7334441830385512,1,-204156.0,-0.002470261170089,17256.0,0.0006938301645423
966,(주)에프엔씨엔터테인먼트,173940,2016.0,1,-24.34,16412.66,-632.59,16.49,-6.94,-1.54,-5.19,-4.78,-5.65,-54.78,83.51,102.75,0.79,-0.69,-5.71,13.84,-0.65,-2.46,0.0,0.0,1018.92,62.4,1.21,165.93,79.18,20.82,1084.4,348.56,88.2,703.54,809.14,44.49,0.0,0.0,0.75,0.95,12.73,3.56,11.6,1.09,104.47,14.87,2.46,8.0,0.85,3.08,0.0,0.0,6657.0,0.0,-52.10049697349791,0.0,0.62,43.0,79.18239462886983,0.03207758299142111,21.739683231618713,254.01618717268585,50408.0,22.551147646977324,25.79570943017159,-381.90306803023566,13.432835820895523,0.0003207758299142111,1,1,0,13.432835820895523,-445.74603542076625,0.0,1,1,0,0,0,1,1,0,0.0,106144.0,-206287296649.67767,6.903796222030796,169033943.6463212,388920675739.0135,0.45917378574418627,3,-23991.0,-0.0003037083850956,17501.0,5.249463338544247e-05
967,앱클론(주),174900,2018.0,1,-24.34,448.96,-189.44,57.8,-21.49,-6.88,-3.4,-4.67,-3.47,-24.15,42.2,149.88,4.02,-4.83,-4.16,34.41,-3.17,-2.81,3.08,3.08,422.32,77.4,0.08,342.46,65.14,34.86,522.32,242.34,75.43,1342.15,1034.02,45.46,6.97,10.7,0.16,0.22,1.12,0.58,24.38,0.2,216.75,17.87,0.8,0.97,0.15,-108.36,0.0,0.0,-20262.0,0.0,-63.61749859786876,0.0,9.93,63.0,65.14423076923077,0.21948160535117056,37.570093457943926,67.54530477759472,6487.0,7.51494940202392,-17.05098371059869,-43.15576534052596,0.0,0.0021948160535117055,1,1,0,0.0,-25.219865494050698,0.0,1,0,0,0,0,1,1,0,0.0,18699.0,-316302216162.59717,2.3404237334034605,-11777626812.403913,829842756563.3904,0.041957849746095226,1,12837.0,0.0033616638372457,-359624.0,-0.0041580721552601
968,(주)인포마크,175140,2017.0,0,-8.19,3568.78,773.46,23.29,-13.11,-9.14,-9.73,-33.35,-10.9,-396.64,76.71,112.47,-2.34,1.37,-8.71,8.34,1.15,1.43,3.2,3.2,1089.29,75.1,61.38,301.61,28.65,71.35,1189.29,139.1,29.98,10.29,18.63,21.11,35.25,123.04,0.74,2.59,31.1,1.04,8.64,2.56,1.61,15.65,2.98,15.44,0.58,-2.96,0.0,0.0,-948.0,5511.0,-57.02802125437122,0.0,1.97,7679.0,28.65300859221832,10.104080316846273,65.38779596100278,90.96133751306165,18924.0,-22.659468674527634,-11.387553796374831,-782.8254847645429,-3.8834951456310676,0.10104080316846274,1,0,0,-3.8834951456310676,3.6392721455708856,0.0,1,0,0,1,0,0,1,0,0.0,21776.0,-209988695451.0809,7.191380572470883,3374228608.1116242,514703312315.7536,0.03417665139374589,0,-23283.0,-0.0018191819379157,-62536.0,-0.0033408749203619
969,(주)파버나인,177830,2015.0,1,-8.01,14352.65,475.69,2.08,-10.32,-5.32,-6.28,-10.81,-6.57,-199.41,97.92,108.95,-0.91,0.92,-5.72,24.81,0.83,1.33,2.16,2.16,1744.37,22.44,24.69,28.93,58.05,41.95,1844.37,102.34,35.68,51.56,54.31,0.51,31.4,54.09,0.61,1.05,19.32,1.45,20.2,3.6,10.97,21.28,0.78,0.84,1.37,50.96,0.0,0.0,25642.0,0.0,161.63911026525514,0.0,0.4,15176.0,58.05211749356465,17.83795855519118,11.409826619873238,20.808321764464345,65988.0,-9.074339997790789,-39.16305984192698,-211.92622091804654,-13.714285714285715,0.1783795855519118,0,1,0,-13.714285714285715,-24.962677282906196,0.0,0,0,0,1,0,1,1,0,0.21691133625067074,49389.0,-101751242161.11537,-0.947472877343674,4178097486.19098,498618966373.2934,-0.4842737165109802,0,-3208.0,-5.97252723810334e-05,1205.0,0.0002811468704654
970,(주)유테크,178780,2016.0,0,-11.74,2226.79,761.57,-14.99,-40.24,-15.81,-17.75,-42.5,-18.97,-224.55,114.99,136.24,-0.94,2.69,-16.57,16.72,1.95,2.04,2.67,2.67,428.28,35.93,9.91,56.08,41.77,58.23,528.28,211.98,31.21,481.87,98.78,18.98,50.92,121.91,0.44,1.06,5.58,0.76,12.55,1.36,12.4,2.57,0.69,0.79,0.83,-7.31,0.0,0.0,7842.0,0.0,29.033976930792377,1968.0,0.87,25455.0,40.512652908768324,35.95842956120092,-4.899058670297792,0.2607964105440269,41167.0,-29.07664223632945,-35.37283151343835,-666.2135922330096,-49.333333333333336,0.3595842956120092,0,1,1,-49.333333333333336,-64.06675450153712,0.0,0,0,0,1,0,1,1,0,0.10661286878165271,26031.0,-64271349276.17244,19.768262029135204,22264169591.926605,1589467832439.2385,-0.16851536273154497,0,1150.0,-1.363466238099803e-05,89689.0,0.0007451800246822
971,디엑스앤브이엑스(주),180400,2017.0,0,-17.41,750.68,-65.52,13.82,-80.14,-6.92,-8.64,-12.72,-9.96,-178.35,86.18,169.57,1.12,-1.4,-8.79,45.16,-0.82,-0.47,0.74,1.49,882.81,67.41,1.35,206.84,52.29,47.71,982.47,1073.55,351.48,128.05,50.83,64.92,43.99,84.12,0.11,0.16,2.23,0.34,17.32,0.16,9.77,7.11,0.35,1.04,0.15,-19.98,0.0,0.0,-5952.0,8746.0,-28.86913882929819,0.0,0.05,16972.0,52.29135585783238,29.78850372970601,91.85439606694278,50.79320901753409,18568.0,2.5505989260636097,-8.395449195763044,679.7916666666666,8.771929824561402,0.2978850372970601,1,0,0,8.771929824561402,536.1538461538461,0.0,1,0,0,1,0,0,1,0,0.0,29792.0,-586062326321.2336,19.768262029135204,3395629663.5306945,3685012046435.1924,0.049913452279473726,0,-47989.0,0.000258836674334,30578.0,0.0012311960907192
972,엔에이치엔(주),181710,2015.0,1,-24.34,501486.02,-1771.25,0.0,11.23,-2.56,10.63,12.51,8.08,126.54,0.0,108.43,7.33,-2.07,9.78,30.18,-1.8,-4.75,1.93,2.02,4072.27,37.24,0.0,59.34,81.96,18.04,3993.1,293.14,111.81,0.0,0.0,24.54,3.41,4.16,0.42,0.51,74.24,2.3,0.0,1.12,0.0,7.2,0.66,7.64,0.84,6.58,0.0,0.0,250904.0,0.0,-4.8860591862327,0.0,7.9,34778.0,81.95523991861803,1.8969852672459404,44.03256294103506,67.17233297968362,1150600.0,44.07507771851801,15.756119548255137,-63.37286687724736,-13.0374479889043,0.018969852672459403,0,0,0,-13.0374479889043,30.526222281443978,0.0,0,0,0,0,0,0,0,0,0.0,1502511.0,-243530991044.03775,19.768262029135204,2954560285.3649797,42651192654.81911,0.31611140758916156,0,-1152185.0,-0.0083248559807419,1677368.0,0.0130296124261094
973,(주)큐브엔터테인먼트,182360,2016.0,1,-24.34,817.37,-73.82,-5.46,-26.62,-22.84,-21.1,-27.22,-26.7,-198.66,105.46,129.29,0.55,-0.38,-21.4,18.53,-0.29,-1.34,0.0,4.56,548.12,71.1,0.0,246.06,80.22,19.78,648.12,442.55,127.11,0.0,0.0,55.04,0.0,0.0,0.79,1.02,7.46,3.53,8.53,1.08,0.0,5.67,2.98,21.84,0.87,-30.39,0.0,0.0,-6850.0,0.0,-77.17155365880578,0.0,0.12,0.0,80.21517395556798,0.0,-22.344388585482296,180.76923076923077,6205.0,-17.423407009637053,-13.098799053529175,-9.34219734079776,20.588235294117645,0.0,0,1,0,20.588235294117645,-124.83069977426638,0.0,1,0,1,0,0,1,1,0,0.0,17223.0,-263963756089.27612,-11.916158662000132,22264169591.926605,1104738140177.0203,0.20525714120788952,0,-455760.0,-0.0028958843933218,-96708.0,-0.0008948858434966
974,(주)엔케이맥스,182400,2018.0,0,-24.34,-14523.33,-467.56,59.85,-175.52,-22.4,-32.83,-54.66,-59.35,-222.29,25.51,214.0,-17.68,-7.46,-33.58,27.52,-2.01,-1.88,0.34,0.14,181.15,31.32,14.82,45.61,49.44,50.56,281.15,276.45,10.34,41.36,0.81,19.99,4.53,9.17,0.1,0.17,0.68,0.25,100.15,0.27,1.69,4.56,0.18,2.1,0.17,-85.49,0.0,0.0,-34808.0,0.0,-4.8159641748831366,0.0,8.87,27686.0,49.4352724438461,35.95842956120092,30.569535933683667,-9.361022364217252,48462.0,-12.680851063829786,29.79296066252588,22.973785473785473,-7.6923076923076925,0.3595842956120092,1,0,0,-7.6923076923076925,449.4773519163763,0.0,0,0,0,1,0,0,1,0,0.0,34884.0,4149720390.970688,2.3404237334034605,16137943740.6046,5433948986942.487,-0.04225262196373172,0,-375346.0,-0.0046937846460384,478117.0,0.0032134879267549
975,마이크로로봇(주),182690,2017.0,0,-24.34,-854.25,-46.87,-14.99,-77.99,-33.58,-41.17,-60.4,-47.89,-89.99,114.99,164.25,-0.65,-0.58,-41.48,27.4,-0.33,-0.96,0.23,0.23,70.48,46.97,16.73,88.56,68.16,31.84,148.98,172.87,45.06,203.66,16.75,19.8,13.1,19.22,0.53,0.77,1.15,1.66,40.1,1.35,6.72,3.3,1.0,1.12,0.71,-30.96,0.0,0.0,-3104.0,0.0,-21.258676538639516,0.0,0.47,14.0,68.16484308458364,0.08930280028066595,-13.146814404432133,-0.841959972394755,8508.0,-36.78070122136477,-53.87301769050209,43.11090867683899,-25.71428571428571,0.0008930280028066594,1,1,1,-25.71428571428571,-53.81165919282511,0.0,1,0,0,0,0,1,1,0,0.0,10818.0,-151804190082.02148,-0.869557348137947,22264169591.926605,2690723446077.8022,0.08228739464621966,0,-24211.0,-0.0001863893488833,105196.0,0.0010580345767592
976,(주)엔지켐생명과학,183490,2016.0,0,-24.34,-770.34,57.4,16.46,-29.0,-18.24,-18.88,-25.65,-20.15,-191.26,83.54,128.52,-0.26,0.26,-18.71,13.02,0.2,0.65,2.97,3.12,699.03,69.08,22.94,223.43,73.52,26.48,799.03,420.32,137.58,120.24,23.92,52.65,15.27,20.77,0.65,0.88,6.6,2.47,17.02,1.23,4.43,3.95,2.02,2.55,0.77,-149.22,0.0,0.0,-40220.0,0.0,-50.13414258697277,0.0,0.0,2700.0,73.51513498772839,7.362967002999728,20.66072192425389,24.13117324274889,11338.0,20.240856378233723,39.645689434638015,-46.25700220675607,14.754098360655737,0.07362967002999728,0,1,0,14.754098360655737,-167.95629589826257,1.0,1,0,0,1,0,1,1,0,0.009748168673560481,26958.0,-292353048101.28094,0.06138113708600749,22264169591.926605,1205157521621.5547,0.058444281904568955,3,0.0,0.0,0.0,0.0
977,에스지에이솔루션즈(주),184230,2018.0,0,-6.36,-4144.5,1049.61,20.06,-29.62,-10.98,-16.69,-26.05,-19.5,-340.41,79.94,120.38,-2.36,2.31,-15.39,12.13,1.73,2.92,5.11,6.29,1031.0,51.45,12.85,105.97,49.72,50.28,1113.33,151.24,37.0,0.0,137.63,17.43,36.45,73.31,0.56,1.02,13.78,1.26,5.57,1.21,6.71,3.66,1.25,44.87,0.68,2.18,0.0,0.0,-2439.0,0.0,-53.77195121951219,0.0,2.05,12697.0,49.719496887568205,16.26277634039501,-5.972324256620862,-4.162633107454018,37907.0,-23.04733962413766,-18.000144550448105,-705.267897343539,-23.026315789473685,0.1626277634039501,0,0,1,-23.026315789473685,332.3943661971831,0.0,1,1,0,1,0,1,1,0,0.0017372189243650507,38818.0,-154008122878.21436,6.732754082511984,681853113.2736894,1141895633276.612,0.021156783992946113,0,-125.0,-0.0001369576032278,-203420.0,-0.0032248298965366
978,아이진(주),185490,2014.0,0,-24.34,-1130.83,-62.7,0.0,-175.52,-50.23,-49.35,-65.56,-50.43,-75.53,0.0,214.0,7.33,-40.77,-50.41,49.82,-1.93,-4.28,0.0,0.0,-2.37,84.76,0.0,521.68,69.52,30.48,97.63,472.38,259.16,0.0,0.0,66.81,0.0,0.0,0.03,0.03,0.55,0.1,0.0,0.03,0.0,1.26,0.25,0.88,0.02,-357.46,0.0,0.0,-16790.0,0.0,-47.14772116361029,0.0,0.0,351.0,69.52913584701426,2.2389487784652675,-7.950208443426693,17.24137931034483,8848.0,-14.765924788948581,-17.749100909667863,-24.09857328145266,20.0,0.022389487784652676,0,1,0,20.0,-166.3457330415755,0.0,1,0,0,0,0,1,1,0,0.0,12259.0,-213483956546.5846,-2.1391254801754145,13884799386.373493,2732153416083.824,0.043687868242644735,3,0.0,0.0,0.0,0.0
