,회사명,거래소코드,회계년도,기업생명주기
82,한일홀딩스(주),003300,2018,3
1267,휴림네트웍스(주),192410,2018,0
1269,(주)와이제이엠게임즈,193250,2018,0
17,삼일제약(주),000520,2018,0
15,(주)대동,000490,2018,1
1282,(주)서연이화,200880,2018,0
296,(주)성광벤드,014620,2018,3
299,삼륭물산(주),014970,2018,2
307,(주)큐로,015590,2018,1
328,(주)이원,017940,2018,2
20,(주)영풍,000670,2018,1
277,아진산업(주),013310,2018,1
255,현대위아(주),011210,2018,3
267,(주)디비아이엔씨,012030,2018,1
1208,(주)오이솔루션,138080,2018,2
135,에스엘(주),005850,2018,2
1197,(주)파인텍,131760,2018,2
71,(주)대유에이텍,002880,2018,1
143,(주)국영지앤엠,006050,2018,2
62,동일제강(주),002690,2018,3
1232,(주)하이로닉,149980,2018,4
191,(주)대명소노시즌,007720,2018,1
45,이화공영(주),001840,2018,3
192,(주)코리아써키트,007810,2018,2
194,(주)서연,007860,2018,1
200,아남전자(주),008700,2018,0
212,(주)신원,009270,2018,3
221,한국조선해양(주),009540,2018,2
230,삼정펄프(주),009770,2018,2
235,한국프랜지공업(주),010100,2018,2
259,(주)유니크,011320,2018,1
273,(주)모나리자,012690,2018,2
345,(주)시공테크,020710,2018,4
1054,에스디엔(주),099220,2018,1
360,(주)위스컴,024070,2018,1
943,(주)랩지노믹스,084650,2018,1
671,(주)엔이능률,053290,2018,1
675,(주)태양,053620,2018,2
681,한국컴퓨터(주),054040,2018,3
686,(주)이랜텍,054210,2018,0
689,(주)팬스타엔터프라이즈,054300,2018,1
693,삼영엠텍(주),054540,2018,2
706,코위버(주),056360,2018,1
708,신화인터텍(주),056700,2018,0
730,(주)메타바이오메드,059210,2018,4
737,(주)뉴보텍,060260,2018,0
741,(주)케이티서브마린,060370,2018,3
665,(주)액토즈소프트,052790,2018,3
742,(주)동양에스텍,060380,2018,0
779,(주)젬백스링크,064800,2018,1
787,(주)에스아이리소스,065420,2018,3
805,(주)테라젠이텍스,066700,2018,0
877,(주)이노와이어리스,073490,2018,3
809,(주)이엔코퍼레이션,066980,2018,1
865,(주)율호,072770,2018,1
815,엔브이에이치코리아(주),067570,2018,1
824,(주)팬엔터테인먼트,068050,2018,4
825,에스케이렌터카(주),068400,2018,4
828,(주)셀트리온제약,068760,2018,2
852,에이테크솔루션(주),071670,2018,0
841,(주)라이트론,069540,2018,1
763,(주)에스엠라이프디자인그룹,063440,2018,1
355,(주)플레이위드,023770,2018,4
946,(주)티비에이치글로벌,084870,2018,0
617,(주)에스엠컬처앤콘텐츠,048550,2018,1
1096,(주)코렌텍,104540,2018,2
1092,일진전기(주),103590,2018,0
363,한일단조공업(주),024740,2018,2
364,(주)유성티엔에스,024800,2018,1
365,이화전기공업(주),024810,2018,0
1066,(주)동국에스엔씨,100130,2018,3
847,로체시스템즈(주),071280,2018,0
428,티제이미디어(주),032540,2018,1
1051,(주)에스티오,098660,2018,2
437,(주)비트컴퓨터,032850,2018,3
441,(주)동일기연,032960,2018,3
1017,다믈멀티미디어(주),093640,2018,3
630,(주)오픈베이스,049480,2018,3
1010,한라아이엠에스(주),092460,2018,1
465,세종공업(주),033530,2018,1
1001,(주)텔레필드,091440,2018,0
476,(주)파라다이스,034230,2018,1
502,(주)이지,037370,2018,0
510,에코플라스틱(주),038110,2018,1
512,(주)삼표시멘트,038500,2018,1
519,(주)아이에이,038880,2018,1
990,(주)아이윈,090150,2018,0
984,유비벨록스(주),089850,2018,3
574,KD(주),044180,2018,4
603,유니온머티리얼(주),047400,2018,0
1294,하이즈항공(주),221840,2018,3
463,(주)동성화인텍,033500,2018,3
1300,(주)클리오,237880,2018,2
