,회사명,거래소코드,회계년도,회생여부,이자보상배율(이자비용)
213,범양건영(주),002410,2016.0,1,0.67
214,세기상사(주),002420,2011.0,0,-0.54
215,세기상사(주),002420,2012.0,0,-0.44
216,세기상사(주),002420,2013.0,0,-1.97
217,세기상사(주),002420,2014.0,0,-1.9
218,세기상사(주),002420,2015.0,0,-2.05
219,세기상사(주),002420,2016.0,0,-1.7
220,세기상사(주),002420,2017.0,0,-0.9
221,세기상사(주),002420,2018.0,0,-0.91
222,(주)삼익악기,002450,2017.0,1,0.49
223,화성산업(주),002460,2011.0,1,-9.78
224,(주)한탑,002680,2011.0,1,0.0
225,(주)한탑,002680,2013.0,0,-0.05
226,(주)한탑,002680,2014.0,0,-1.01
227,(주)한탑,002680,2015.0,0,0.62
228,(주)한탑,002680,2016.0,0,0.98
229,(주)한탑,002680,2017.0,0,0.03
230,(주)한탑,002680,2018.0,0,0.01
231,동일제강(주),002690,2018.0,1,-24.34
232,신일전자(주),002700,2014.0,0,-0.29
233,신일전자(주),002700,2015.0,1,-8.05
234,(주)TCC스틸,002710,2012.0,0,0.57
235,(주)TCC스틸,002710,2013.0,0,-0.59
236,(주)TCC스틸,002710,2014.0,1,0.02
237,국제약품(주),002720,2012.0,0,-8.9
238,국제약품(주),002720,2013.0,0,0.75
239,국제약품(주),002720,2014.0,1,-1.03
240,진흥기업(주),002780,2011.0,0,-4.86
241,진흥기업(주),002780,2012.0,0,-0.68
242,진흥기업(주),002780,2013.0,1,-0.15
243,(주)선앤엘,002820,2012.0,1,-0.99
244,(주)선앤엘,002820,2014.0,1,0.64
245,(주)선앤엘,002820,2017.0,0,0.43
246,(주)선앤엘,002820,2018.0,0,-1.08
247,신풍,002870,2011.0,0,-5.15
248,신풍,002870,2012.0,0,-7.91
249,신풍,002870,2013.0,0,-5.44
250,신풍,002870,2014.0,0,-24.34
251,신풍,002870,2015.0,1,-24.34
252,신풍,002870,2017.0,1,-6.4
253,(주)대유에이텍,002880,2017.0,0,0.89
254,(주)대유에이텍,002880,2018.0,1,0.49
255,티와이엠(주),002900,2011.0,1,0.64
256,티와이엠(주),002900,2014.0,1,0.24
257,티와이엠(주),002900,2016.0,0,0.77
258,티와이엠(주),002900,2017.0,0,-0.19
259,티와이엠(주),002900,2018.0,1,-0.49
260,금호건설(주),002990,2011.0,0,0.72
261,금호건설(주),002990,2012.0,1,-1.6
262,(주)혜인,003010,2012.0,0,-0.67
263,(주)혜인,003010,2013.0,1,0.17
264,(주)혜인,003010,2015.0,1,0.59
265,(주)혜인,003010,2017.0,1,0.55
