"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2015- 04- 01","48,650","48,500","52,700","45,700","18.63K","-0.41%"
"2015- 03- 31","48,850","50,400","50,800","47,250","9.73K","-4.78%"
"2015- 03- 30","51,300","52,400","52,400","47,650","8.26K","-0.39%"
"2015- 03- 29","51,500","51,500","51,500","51,500","0.18K","0.00%"
"2015- 03- 27","51,500","49,350","53,800","48,750","19.67K","0.00%"
"2015- 03- 26","51,500","45,150","52,800","45,100","49.92K","10.87%"
"2015- 03- 25","46,450","40,500","46,450","40,200","24.11K","14.98%"
"2015- 03- 24","40,400","40,500","40,550","40,050","1.26K","0.37%"
"2015- 03- 23","40,250","41,450","41,450","40,200","0.97K","-1.47%"
"2015- 03- 20","40,850","40,700","41,250","40,400","0.49K","-0.24%"
"2015- 03- 19","40,950","41,550","41,550","40,300","1.88K","0.00%"
"2015- 03- 18","40,950","40,250","41,300","40,250","2.46K","0.37%"
"2015- 03- 17","40,800","41,550","41,550","40,400","1.67K","0.12%"
"2015- 03- 16","40,750","39,500","40,800","39,450","2.05K","2.90%"
"2015- 03- 13","39,600","40,650","40,650","39,100","3.05K","-1.00%"
"2015- 03- 12","40,000","40,200","40,650","39,500","1.10K","0.25%"
"2015- 03- 11","39,900","40,000","40,800","39,300","1.64K","-0.62%"
"2015- 03- 10","40,150","40,500","41,250","39,150","3.38K","-0.50%"
"2015- 03- 09","40,350","40,600","41,000","39,700","4.64K","-0.62%"
"2015- 03- 06","40,600","42,500","42,500","39,900","4.59K","-3.10%"
"2015- 03- 05","41,900","40,500","43,900","40,500","4.58K","2.44%"
"2015- 03- 04","40,900","40,300","41,250","39,800","2.09K","0.62%"
"2015- 03- 03","40,650","40,550","42,100","40,000","2.86K","0.37%"
"2015- 03- 02","40,500","42,050","42,050","39,500","6.33K","-3.80%"
"2015- 02- 27","42,100","40,750","45,000","40,750","9.40K","2.93%"
"2015- 02- 26","40,900","40,300","41,000","39,550","4.04K","1.49%"
"2015- 02- 25","40,300","40,000","40,500","39,200","7.00K","0.12%"
"2015- 02- 24","40,250","42,200","43,700","39,750","11.51K","-6.18%"
"2015- 02- 23","42,900","46,000","48,750","41,950","10.24K","-1.38%"
"2015- 02- 17","43,500","45,300","45,300","40,250","20.62K","-3.76%"
"2015- 02- 16","45,200","43,900","46,950","42,650","51.01K","10.65%"
"2015- 02- 13","40,850","35,550","40,850","35,500","13.95K","14.91%"
"2015- 02- 12","35,550","35,500","36,000","34,900","5.37K","0.14%"
"2015- 02- 11","35,500","34,850","35,600","34,300","4.83K","1.87%"
"2015- 02- 10","34,850","34,150","35,200","34,000","2.94K","0.58%"
"2015- 02- 09","34,650","34,450","35,150","34,100","4.45K","-1.00%"
"2015- 02- 06","35,000","35,600","35,600","34,100","2.86K","-1.82%"
"2015- 02- 05","35,650","35,650","35,700","34,650","4.18K","0.00%"
"2015- 02- 04","35,650","34,900","36,000","34,400","6.57K","0.71%"
"2015- 02- 03","35,400","35,500","36,000","34,550","3.51K","0.28%"
"2015- 02- 02","35,300","35,950","36,350","33,850","9.51K","0.71%"
"2015- 02- 01","35,050","35,050","35,050","35,050","","0.00%"
